,title,abstract,publish_date
0,"Oracle on Track to Acquire NetSuite, a Cloud Storage Company","The company said that holders of 53 percent of unaffiliated NetSuite shares agreed to tender their shares, and the deal will be completed on Monday.",2016-11-05T20:00:00-04:00
1,Volkswagen Emissions Scandal Inquiry Widens to Top Levels,"Prosecutors are investigating whether Hans Dieter Pötsch, the carmaker’s former top finance official, failed to warn shareholders about the scandal.",2016-11-05T20:00:00-04:00
2,A Lawyer With a Taste for Soy Sauce and a High Tolerance for Pain,"Although Jonathan Blum had spent his legal career advising businesses, turning his passion into a company wasn’t as straightforward as he had expected.",2016-11-04T20:00:00-04:00
3,How LinkedIn Drove a Wedge Between Microsoft and Salesforce,"Once so close they flirted with a merger, the software giants became archrivals when they realized the value of the data amassed by social networks.",2016-11-04T20:00:00-04:00
4,Farhad’s and Mike’s Week in Tech: Gaming as Prophylaxis to Elections,"Mike is a medieval witch hunter, as Farhad retreats into Mario. Microsoft’s grab for Slack’s lunch is discussed. And Amazon could do better at inspiring shopping.",2016-11-04T20:00:00-04:00
5,The Money Management Gospel of Yale’s Endowment Guru,"The mammoth Yale endowment fund run by David Swensen has been a training ground for investment managers, its alumni now scattered through the nonprofit world.",2016-11-04T20:00:00-04:00
6,New Item on the College Admission Checklist: LinkedIn Profile,Social media experts are advising high school seniors to create professional profiles on LinkedIn and draw them to the attention of college admissions officers.,2016-11-04T20:00:00-04:00
7,Bill Simmons’s HBO Program Is Canceled,"HBO was eager to tap Mr. Simmons’s base of readers of his sports column, but that audience failed to materialize.",2016-11-03T20:00:00-04:00
8,Wall St. Scion Gets 4 Years in Prison for Fraud,"Andrew Caspersen, a Wall Street executive from a well-off family, received a far shorter sentence than prosecutors sought after a doctor testified he had a gambling addiction.",2016-11-03T20:00:00-04:00
9,Tesla’s Bid for SolarCity Gets Support From Shareholder Adviser,The backing of Institutional Shareholder Services could sway Tesla shareholders because the firm’s recommendations carry great weight among mutual funds.,2016-11-03T20:00:00-04:00
10,Direct Relief Donation Page,Direct Relief's new online donor site.,2016-11-03T20:00:00-04:00
11,Competition Would Be the Best Solution to Rising Drug Prices,"Prosecutors are investigating drug makers for colluding over prices, but higher consumer costs may be a natural consequence of reduced competition.",2016-11-03T20:00:00-04:00
12,"Samsung, Stung by Galaxy Note Failure, Recalls Washing Machines",A recall of 2.8 million washing machines in the United States exceeds the 1.9 million Galaxy Note smartphones recalled last month.,2016-11-03T20:00:00-04:00
13,A Formula for Easier-to-Read Excel Work Sheets,Adding color or a shade of gray to every other row in your spreadsheet can help your eyes focus better on the information.,2016-11-03T20:00:00-04:00
14,Daily Report: Vote Hacking,"With four days to go to the elections, the possibility of hackers prancing into the voting mechanisms is foremost on federal and state officials’ minds.",2016-11-03T20:00:00-04:00
15,Rolling Stone Loses Defamation Case Over Rape Story,"A jury found liability on the part of the magazine, its parent company and the author of the article.",2016-11-03T20:00:00-04:00
16,How to Satirize This Election? Even the Onion Is Having Trouble,"The 2016 presidential campaign, with its unsavory issues and unpopular candidates, has proved challenging to the staff of the satirical website The Onion.",2016-11-03T20:00:00-04:00
17,"Wall St. Ends Lower, Extending a Losing Streak","Despite the government’s encouraging jobs report, the S.&P. 500 closed lower for a ninth straight day, the longest losing streak in 36 years.",2016-11-03T20:00:00-04:00
18,"Deirdre Quinn: If a Meeting Starts at 9, Be There at 8","Ms. Quinn, chief of the women’s fashion site Lafayette 148 New York, says her pet peeve is lateness. When a meeting starts, she says, she closes the door.",2016-11-03T20:00:00-04:00
19,"Morning Agenda: Wells Fargo, Washington and Wall Street, Pharma Price-Fixing","In the latest accusations to hit Wells Fargo, former employees say the bank used termination notices to retaliate against attempts to blow the whistle on its fraudulent activities.",2016-11-03T20:00:00-04:00
20,Last Economic Snapshot Before the Election Shows Healthy Job Growth,"While the presidential campaigns have been preoccupied with issues beyond the economy, the report refocuses attention on the crucial issue of jobs.",2016-11-03T20:00:00-04:00
21,Dick Clark Productions to Be Sold to Chinese Company for $1 Billion,"The sale to Dalian Wanda, which has been on a buying spree, would include broadcasting rights to the Golden Globes and other TV spectacles.",2016-11-03T20:00:00-04:00
22,‘We Almost Have Riots’: Tensions Flare in Silicon Valley Over Growth,"As the region has become more congested and expensive, there are growing demands to rein in the physical space that many technologists call home.",2016-11-03T20:00:00-04:00
23,"E. Lee Hennessee, a Leading Woman in Hedge Funds, Dies at 64",Ms. Hennessee created one of the first indexes to track the hedge fund industry’s secretive transactions.,2016-11-02T20:00:00-04:00
24,News of Charges in Price-Fixing Inquiry Sends Pharmaceuticals Tumbling,Investors worry new controls may be in the offing as a news report says the Justice Department may bring charges by the end of the year.,2016-11-02T20:00:00-04:00
25,"No Laptop, No Phone, No Desk: UBS Reinvents the Work Space",The bulk of UBS’s employees will no longer have a fixed desk at its new building in London as the Swiss bank embraces a more mobile work environment.,2016-11-02T20:00:00-04:00
26,"New York Area Has the Nation’s 3 Worst Airports, Study Says","A travel website’s examination of timeliness, accessibility and amenities at the United States’ 30 busiest airports found fault with La Guardia, J.F.K. and Newark.",2016-11-02T20:00:00-04:00
27,The Paris Agreement on Climate Change Is Official. Now What?,Top energy policy makers and corporate leaders say it will be challenging to meet even the deal’s modest goals to reduce emissions and greenhouse gases.,2016-11-02T20:00:00-04:00
28,Former Napa Valley Winemaker Arrested in Fraud Scheme,A grand jury charged Jeffry James Hill with stealing grapes and deceiving customers about the source and type of grapes in the wines he sold.,2016-11-02T20:00:00-04:00
29,Credit Suisse’s Cost-Cutting Is Hindered by Rising Risks,Profitability is under pressure in Credit Suisse’s wealth management and trading businesses.,2016-11-02T20:00:00-04:00
30,Why Washington Needs Wall Street,Many government jobs could be filled by someone with a Wall Street background to the benefit of the American people.,2016-11-02T20:00:00-04:00
31,Daily Report: A New Helper in the Virtual Assistant Race,"Google will introduce Home, its rival to Amazon’s Alexa, at the end of this week.",2016-11-02T20:00:00-04:00
32,Make Siri Hear You on a Mac Mini,"Not every Mac model comes with a microphone, but you can still command Apple’s virtual assistant with an external accessory.",2016-11-02T20:00:00-04:00
33,Google Rebuts Antitrust Claims in Europe,"The search giant faces three cases accusing it of hampering consumer choice and crippling competitors, all of which it denies.",2016-11-02T20:00:00-04:00
34,Wall St. Closes Lower as Election Looms,Shares of Fitbit and Facebook were lower on concerns about the companies’ growth outlooks.,2016-11-02T20:00:00-04:00
35,How Economic Data Is Kept Politics-Free,"Despite what partisans may say, career civil servants who compile employment reports follow ground rules that undermine claims that the results are rigged.",2016-11-02T20:00:00-04:00
36,Google Home vs. Amazon Echo: A Face-Off of Smart Speakers,"Which is a better helper, Google Home or Amazon Echo? A side-by-side test for six days revealed strengths and weaknesses.",2016-11-02T20:00:00-04:00
37,"Morning Agenda: Fed Holds Steady, Teaming Up or Divesting?","The Federal Reserve decided not to raise rates, but struck a more positive note than in September. Why all the indecision?",2016-11-02T20:00:00-04:00
38,"A Rare Moment of Unity on Capitol Hill, Thanks to Trump’s Taxes","Revelations that Donald J. Trump paid no federal income tax for years, or decades, have energized bipartisan efforts to overhaul the loophole-ridden tax code.",2016-11-02T20:00:00-04:00
39,Big Question on Climate Crisis: How to Inspire Innovation,"The world’s governments have committed to slashing greenhouse emissions, but it is not clear the necessary technology exists yet.",2016-11-02T20:00:00-04:00
40,Big Oil Slowly Adapts to a Warming World,"Major oil and gas companies, facing future loss of demand for their products as a result of climate change policies, search for new strategies.",2016-11-02T20:00:00-04:00
41,"Batteries That Make Use of Solar Power, Even in the Dark","Solar farms are increasingly common, but they depend on the sun. A new technology harvests that energy so it can be sold when prices are high.",2016-11-02T20:00:00-04:00
42,‘Everyone Needs to Act’: What to Expect From Climate Talks in Morocco,"Ahead of the global climate change conference, four experts explain why it is an important, if less momentous, follow-up to Paris.",2016-11-02T20:00:00-04:00
43,"Pollution Accord Is Set for Global Flights, but Tasks Remain","The new agreement for world aviation aims to cap greenhouse gas emissions, but doubts emerge about the plan’s use of complex offsetting credits.",2016-11-02T20:00:00-04:00
44,Why Light Bulbs May Be the Next Hacker Target,"Wireless “smart” devices may be the tech wave of the future, but researchers have found flaws that let hackers spread malicious code through them.",2016-11-02T20:00:00-04:00
45,A Global Climate Deal Was Reached. Next Up Is Pollution Monitoring.,The new phase of turning agreements into a real reduction of emissions starts on Monday at the next major United Nations climate change summit conference.,2016-11-02T20:00:00-04:00
46,Energy Giants Turn to Drones and Sensors in New Embrace of the Digital World,"Amid continuing low oil and natural gas prices, companies are again turning to tech advances to cut costs, raise productivity and expand exploration.",2016-11-02T20:00:00-04:00
47,Renewable Energy Grows in an Unlikely Place: the Sunny Mideast,"The Middle East, long a bastion of oil and gas production, is moving toward solar power.",2016-11-02T20:00:00-04:00
48,"At Trader Joe’s, Good Cheer May Hide Complaints","Some workers at Trader Joe’s stores, including one who says he was fired for lacking a “genuine” smile, have complained about their treatment and of safety lapses.",2016-11-02T20:00:00-04:00
49,Wells Fargo Faces Scrutiny for Black Marks on Ex-Employee Files,"Three senators asked for data on forms filed by the bank, which former employees say contained negative comments as retaliation against whistle-blowers.",2016-11-02T20:00:00-04:00
50,Fox News Lineup Begins to Take Shape,"Tucker Carlson will take over the prime-time anchor slot once held by Greta van Susteren, starting Nov. 14.",2016-11-02T20:00:00-04:00
51,You Might Be Paying Too Much for Your Chicken,Investors contend that the way a chicken pricing index used by grocery stores is compiled has kept the retail price of chicken artificially high.,2016-11-02T20:00:00-04:00
